时间戳记,"1. How often do you use facial skincare products (e.g., moisturizer, serum, cleanser)?",2. Which of the following skincare product categories do you regularly use? (Select all that apply),3. Where do you typically get information about skincare products before purchasing? (Select all that apply),"1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Factor]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand Reputation]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Price/Value for Money]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Specific Ingredients / Efficacy]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Product Reviews & Recommendations]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Packaging Design (whether Eco-friendly / Sustainable)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [""Clean"" / Non-Toxic Formula]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand's Ethical Values (e.g., cruelty-free, carbon-neutral)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Prior Experience (with sample products, etc.)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Origin]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Marketing Frequency]",2. Trusted sources of information on skin-care products,3. Which best describes your current skincare spending per month?,4.  Channels of purchases,5. What behavioral factors do you think are necessary for healthy skin?,6. Do you regularly repurchase or use products from a particular brand?,7. Do you regularly repurchase or use a particular product with a specific function?,1. What is your gender?,2. What is the highest level of education you have completed?,3. In which region do you currently reside?,4.  Satisfaction with skin health,5. How old are you?,6. What is your profession?,7. What is your skin type?,8. Have you ever experienced side effects from skincare products?,9. How much psychological stress do you think you are under?,10. Do you consider your current lifestyle and habits to be healthy?
2025-11-4 上午06:59:59,4-6 times a week,"Cleanser, Moisturizer, Serum","Brand websites, Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines",,5,3,1,2,,4,,,,,"Dermatologists, Friends and Acquaintances",200 - 500 (RMB/HKD),"Department stores, Single cosmetic brand shops, Hospitals and clinics other than dermatologists' clinics",,,,Female,Master's Degree or higher,Hong Kong / Macao,8,,,,,,
2025-11-10 下午08:18:32,Daily,Cleanser,Brand websites,3,3,3,3,3,3,2,1,2,3,2,Dermatologists,Less than 100 (RMB/HKD),Department stores,"Drink enough water, Get complete sleep",,,Male,Bachelor's Degree,EU Country,7,19 - 25,Student,Dry,Yes,,
2025-11-10 下午08:21:03,Daily,"Moisturizer, Serum, Eye Cream, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Recommendations from friends/family",1,5,2,"1, 5","2, 4",1,4,1,3,1,1,"Dermatologists, Friends and Acquaintances, Online Reviews, Pharmacists",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Hospitals and clinics other than dermatologists' clinics, Online shopping sites","Get complete sleep, Abstain from smoking and drinking",,,Female,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Student,the mixed type,Yes,,
2025-11-10 下午08:26:12,2-3 times a week,Cleanser,Brand websites,4,4,4,5,4,3,5,4,4,4,4,Friends and Acquaintances,100 - 200 (RMB/HKD),"Department stores, Large grocery store chains","Drink enough water, Abstain from smoking and drinking",,,Male,Master's Degree or higher,Other,4,19 - 25,Student,the mixed type,No,,
2025-11-10 下午08:31:28,2-3 times a week,"Cleanser, Moisturizer, Sunscreen","Brand websites, Recommendations from friends/family",2,"2, 3",3,3,3,2,3,4,2,4,1,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores","Drink enough water, Get complete sleep, Apply sunblock product, Apply moisturizers",,,Male,Bachelor's Degree,Mainland of China,8,15 - 18,Student,the mixed type,Maybe,,
2025-11-10 下午08:31:40,4-6 times a week,"Cleanser, Moisturizer, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family, In-store consultations",4,4,3,3,4,2,3,3,4,2,3,"Online Reviews, Pharmacists",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops, Online shopping sites","Drink enough water, Abstain from smoking and drinking, Apply moisturizers",,,Female,High School or equivalent,Other,8,19 - 25,Student,Oily,Maybe,,
2025-11-10 下午08:32:04,Daily,"Cleanser, Moisturizer, Sunscreen",Beauty blogs or magazines,3,3,4,5,4,1,5,1,5,3,1,"Dermatologists, Friends and Acquaintances",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Dermatologists' clinics","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Non-binary / Third Gender,Master's Degree or higher,EU Country,10,19 - 25,Student,the mixed type,Yes,,
2025-11-10 下午08:37:20,Daily,"Cleanser, Moisturizer",Recommendations from friends/family,2,2,2,2,2,2,2,2,2,2,2,Friends and Acquaintances,100 - 200 (RMB/HKD),"Department stores, Online shopping sites, Large grocery store chains","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins",,,Male,High School or equivalent,EU Country,3,19 - 25,Student,the mixed type,No,,
2025-11-10 下午08:37:23,Daily,"Cleanser, Moisturizer","Online reviews (e.g., Amazon, Sephora)",5,5,5,5,5,5,5,5,5,5,5,Friends and Acquaintances,100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Large grocery store chains",Get complete sleep,,,Female,Bachelor's Degree,Other,5,19 - 25,Student,the mixed type,Maybe,,
2025-11-10 下午08:43:33,Daily,"Cleanser, Face Oil, Sunscreen, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), In-store consultations",3,3,3,3,3,3,3,3,3,3,3,"Friends and Acquaintances, Online Reviews",100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Hospitals and clinics other than dermatologists' clinics, Online shopping sites, Large grocery store chains","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Female,Bachelor's Degree,Mainland of China,6,19 - 25,Student,Oily,Yes,,
2025-11-10 下午08:46:53,Daily,"Cleanser, Moisturizer, Face Oil","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",5,4,4,5,4,"3, 4",5,2,4,4,4,"Dermatologists, Friends and Acquaintances",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Hospitals and clinics other than dermatologists' clinics, Large grocery store chains, Dermatologists' clinics","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Male,High School or equivalent,Mainland of China,8,19 - 25,Student,Oily,Yes,,
2025-11-10 下午08:52:15,4-6 times a week,Serum,Recommendations from friends/family,3,2,3,"2, 4","2, 4","2, 3, 4",3,3,3,3,3,Online Reviews,200 - 500 (RMB/HKD),Hospitals and clinics other than dermatologists' clinics,Get complete sleep,,,Female,Master's Degree or higher,EU Country,5,26 - 35,Service Worker,Oily,No,,
2025-11-10 下午08:53:26,Daily,"Cleanser, Moisturizer","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines, Recommendations from friends/family",1,3,3,3,1,1,3,3,2,1,1,"Friends and Acquaintances, Online Reviews",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Prefer not to say,High School or equivalent,Other,3,19 - 25,Student,Dry,Yes,,
2025-11-10 下午09:05:24,4-6 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube)",3,2,2,2,3,2,3,2,3,2,2,"Friends and Acquaintances, Online Reviews",100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Get complete sleep, Apply sunblock product",,,Male,Bachelor's Degree,Mainland of China,6,19 - 25,Student,Dry,Maybe,,
2025-11-10 下午09:20:20,Daily,"Cleanser, Moisturizer, Eye Cream","Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family, In-store consultations",5,5,5,5,5,5,5,2,5,5,2,"Dermatologists, Online Reviews",100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Female,Bachelor's Degree,Other,6,19 - 25,Student,the mixed type,Maybe,,
2025-11-10 下午09:51:49,2-3 times a week,"Cleanser, Moisturizer, Face Oil","Brand websites, Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",2,3,2,"1, 2","1, 2",2,2,1,2,3,2,"Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Large grocery store chains","Drink enough water, Get complete sleep, Apply moisturizers",,,Prefer not to say,High School or equivalent,Other Asia country,5,26 - 35,Self-employed,Dry,No,,
2025-11-11 上午02:33:09,Daily,"Cleanser, Moisturizer, Serum, Face Oil, Sunscreen, Toner, Eye Cream, Exfoliator (AHA/BHA), Other","Brand websites, In-store consultations",5,5,5,5,3,1,5,3,5,5,3,"Dermatologists, Pharmacists",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Female,Master's Degree or higher,Other,2,Over 60 years old,Service Worker,Sensitive,Yes,,
2025-11-11 上午02:44:36,Daily,"Cleanser, Moisturizer, Face Oil, Toner","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines, Recommendations from friends/family",4,4,5,5,4,2,4,2,4,2,2,"Dermatologists, Online Reviews",200 - 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking, Take vitamins, Apply moisturizers",,,Female,Bachelor's Degree,Other Asia country,1,19 - 25,Student,Sensitive,Yes,,
2025-11-11 上午03:14:36,Daily,"Cleanser, Moisturizer, Serum, Face Oil, Sunscreen, Toner, Eye Cream, Exfoliator (AHA/BHA), Other","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",5,5,5,5,5,5,5,5,5,5,5,"Dermatologists, Friends and Acquaintances, Sales Representatives, Online Reviews, Pharmacists",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops, Hospitals and clinics other than dermatologists' clinics, Online shopping sites, Large grocery store chains, Dermatologists' clinics","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",,,Female,Master's Degree or higher,Mainland of China,10,19 - 25,Technology Industry,the mixed type,Maybe,,
2025-11-11 上午05:45:43,2-3 times a week,Cleanser,"Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",5,5,4,5,5,4,5,5,4,5,5,"Friends and Acquaintances, Sales Representatives",200 - 500 (RMB/HKD),Department stores,Apply sunblock product,Yes,Yes,Male,Master's Degree or higher,Mainland of China,7,19 - 25,Self-employed,the mixed type,Yes,,
2025-11-11 上午05:48:26,Rarely or never,"Cleanser, Sunscreen","Brand websites, Recommendations from friends/family",3,4,4,5,4,3,4,4,5,4,3,"Friends and Acquaintances, Sales Representatives",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product",No,No,Male,High School or equivalent,Hong Kong / Macao,6,19 - 25,Student,Oily,Maybe,,
2025-11-11 上午05:49:35,Daily,Moisturizer,"Social media (e.g., Instagram, TikTok, YouTube)",4,3,2,2,2,2,3,3,4,4,4,Sales Representatives,more than 500 (RMB/HKD),Single cosmetic brand shops,Abstain from smoking and drinking,No,Yes,Male,Bachelor's Degree,Hong Kong / Macao,4,19 - 25,Technology Industry,Sensitive,No,,
2025-11-11 上午05:51:57,Rarely or never,Cleanser,"Online reviews (e.g., Amazon, Sephora)",1,1,1,1,1,1,1,1,1,"1, 5",1,Friends and Acquaintances,Less than 100 (RMB/HKD),Online shopping sites,Get complete sleep,No,No,Male,Bachelor's Degree,Hong Kong / Macao,8,19 - 25,Student,the mixed type,No,,
2025-11-11 上午05:52:24,Daily,"Cleanser, Moisturizer, Sunscreen, Toner, Eye Cream","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",4,4,2,5,5,1,5,2,3,3,2,"Dermatologists, Friends and Acquaintances",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product",Yes,Yes,Female,Master's Degree or higher,Mainland of China,8,26 - 35,Self-employed,Dry,No,,
2025-11-11 上午05:53:21,Daily,Face Oil,Brand websites,2,5,3,3,2,2,3,2,4,4,2,Friends and Acquaintances,Less than 100 (RMB/HKD),Department stores,"Drink enough water, Get complete sleep, Take vitamins",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,3,19 - 25,Unemployed,Oily,No,,
2025-11-11 上午05:55:01,Daily,"Cleanser, Moisturizer, Face Oil, Sunscreen, Eye Cream",Brand websites,5,5,5,5,5,"3, 5",5,3,3,3,1,Friends and Acquaintances,more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Mainland of China,1,19 - 25,Student,the mixed type,Yes,,
2025-11-11 上午05:55:10,4-6 times a week,"Cleanser, Sunscreen","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",4,4,4,3,3,2,3,3,3,2,3,"Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep",Yes,Yes,Female,Master's Degree or higher,Mainland of China,6,19 - 25,Student,the mixed type,Yes,,
2025-11-11 上午05:56:02,Daily,"Cleanser, Face Oil","Social media (e.g., Instagram, TikTok, YouTube)",1,4,3,"2, 3",5,1,5,3,5,3,3,"Online Reviews, Pharmacists",Less than 100 (RMB/HKD),"Department stores, Online shopping sites","Get complete sleep, Abstain from smoking and drinking, Take vitamins",No,Yes,Female,Bachelor's Degree,Hong Kong / Macao,4,19 - 25,Student,the mixed type,No,,
2025-11-11 上午05:57:44,2-3 times a week,"Cleanser, Sunscreen, Toner, Eye Cream","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",4,5,4,4,3,"1, 2",4,3,2,5,3,"Dermatologists, Friends and Acquaintances, Sales Representatives, Online Reviews",100 - 200 (RMB/HKD),"Department stores, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Male,Master's Degree or higher,Mainland of China,7,26 - 35,Office worker,Dry,Maybe,,
2025-11-11 上午06:05:16,2-3 times a week,"Cleanser, Moisturizer, Serum","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",5,4,5,5,3,2,5,2,5,2,2,"Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),Single cosmetic brand shops,"Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Student,Dry,No,,
2025-11-11 上午06:05:49,Daily,"Cleanser, Face Oil, Toner","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",4,4,5,5,"4, 5","4, 5",5,5,5,5,5,Friends and Acquaintances,200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores","Drink enough water, Get complete sleep",Yes,Yes,Male,High School or equivalent,Hong Kong / Macao,8,19 - 25,Office worker,the mixed type,No,,
2025-11-11 上午06:07:29,4-6 times a week,"Cleanser, Face Oil, Eye Cream","Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",1,2,3,4,5,1,2,3,4,5,4,"Friends and Acquaintances, Sales Representatives",100 - 200 (RMB/HKD),"Hospitals and clinics other than dermatologists' clinics, Large grocery store chains","Abstain from smoking and drinking, Take vitamins",Yes,Yes,Female,Bachelor's Degree,America,6,19 - 25,Service Worker,the mixed type,Yes,,
2025-11-11 上午06:07:50,Daily,"Cleanser, Serum","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",3,3,2,2,2,1,2,2,2,2,2,"Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops","Get complete sleep, Take vitamins",Yes,Yes,Female,Bachelor's Degree,Mainland of China,4,19 - 25,Student,Sensitive,Maybe,,
2025-11-11 上午06:09:13,4-6 times a week,"Moisturizer, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",5,4,5,5,4,3,5,4,5,3,3,"Friends and Acquaintances, Online Reviews",Less than 100 (RMB/HKD),"Single cosmetic brand shops, Online shopping sites","Get complete sleep, Apply moisturizers",Yes,Yes,Female,Bachelor's Degree,Hong Kong / Macao,6,15 - 18,Student,Dry,Maybe,,
2025-11-11 上午06:15:14,Daily,"Cleanser, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",4,3,5,3,5,1,"1, 2",1,2,1,3,Online Reviews,100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Drink enough water, Get complete sleep, Apply moisturizers",No,Yes,Female,Bachelor's Degree,Hong Kong / Macao,3,19 - 25,Student,Sensitive,Yes,,
2025-11-11 上午07:03:13,2-3 times a week,Cleanser,In-store consultations,3,3,3,3,3,3,3,3,3,3,3,Pharmacists,more than 500 (RMB/HKD),Dermatologists' clinics,Apply moisturizers,No,No,Prefer not to say,Other,Other,2,Over 60 years old,Unemployed,Sensitive,Maybe,4,3
2025-11-11 上午07:23:17,4-6 times a week,"Cleanser, Moisturizer, Serum, Face Oil, Sunscreen, Toner, Eye Cream, Exfoliator (AHA/BHA), Other","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",3,3,3,3,3,3,3,3,3,3,3,Friends and Acquaintances,more than 500 (RMB/HKD),Single cosmetic brand shops,Abstain from smoking and drinking,No,No,Non-binary / Third Gender,Bachelor's Degree,Hong Kong / Macao,3,19 - 25,Office worker,Oily,No,5,10
2025-11-11 上午07:26:08,Rarely or never,Sunscreen,Recommendations from friends/family,2,2,2,3,2,1,3,2,2,2,1,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Take vitamins",Yes,Yes,Male,Bachelor's Degree,Hong Kong / Macao,10,19 - 25,Student,the mixed type,No,3,4
2025-11-11 上午07:33:29,4-6 times a week,Cleanser,"Online reviews (e.g., Amazon, Sephora)",3,2,2,2,2,2,2,2,2,3,3,Friends and Acquaintances,200 - 500 (RMB/HKD),Department stores,Take vitamins,No,Yes,Female,Bachelor's Degree,Mainland of China,6,19 - 25,Self-employed,Dry,Yes,5,5
2025-11-11 上午09:18:27,Daily,"Cleanser, Face Oil, Sunscreen","Recommendations from friends/family, Dermatologist or aesthetician recommendations",3,3,3,3,3,3,3,3,3,3,3,"Dermatologists, Friends and Acquaintances",more than 500 (RMB/HKD),Hospitals and clinics other than dermatologists' clinics,"Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Mainland of China,4,19 - 25,Self-employed,the mixed type,Yes,6,9
2025-11-11 上午10:35:30,2-3 times a week,Face Oil,Recommendations from friends/family,2,2,2,2,2,2,2,2,2,2,2,Friends and Acquaintances,100 - 200 (RMB/HKD),Single cosmetic brand shops,Abstain from smoking and drinking,Yes,Yes,Male,Bachelor's Degree,Mainland of China,5,19 - 25,Student,Oily,No,5,5
2025-11-11 上午11:08:43,Daily,Cleanser,Recommendations from friends/family,5,5,5,5,4,4,"3, 4",4,5,4,4,"Dermatologists, Friends and Acquaintances, Online Reviews, Pharmacists",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Abstain from smoking and drinking, Take vitamins, Apply moisturizers",Yes,Yes,Male,Bachelor's Degree,Hong Kong / Macao,3,19 - 25,Student,Oily,No,8,3
2025-11-11 上午11:49:42,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube)",3,3,1,3,4,1,3,1,2,2,1,"Friends and Acquaintances, Online Reviews, Pharmacists",200 - 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Abstain from smoking and drinking",No,No,Male,Master's Degree or higher,America,5,19 - 25,Student,the mixed type,Maybe,5,1
